date,city,price,br,lsqft,bsqft
2006-02-05,Berkeley,670000.0,3.0,3150.0,1119.0
2006-07-23,Berkeley,722000.0,2.0,5320.0,1394.0
2006-08-20,Berkeley,740000.0,4.0,4500.0,2065.0
2006-07-16,Berkeley,550000.0,2.0,2600.0,914.0
2006-08-13,Berkeley,601000.0,2.0,5320.0,940.0
2006-12-10,Berkeley,560000.0,2.0,4320.0,1053.0
2006-07-30,Berkeley,570000.0,3.0,5300.0,1686.0
2006-08-20,Berkeley,602000.0,3.0,7243.0,1339.0
2006-10-08,Berkeley,655000.0,2.0,5520.0,848.0
2006-12-17,Berkeley,499000.0,,4000.0,964.0
2006-07-09,Berkeley,720000.0,,3387.0,1659.0
2006-05-14,Berkeley,590000.0,2.0,10717.0,1415.0
2006-05-07,Berkeley,625000.0,2.0,6800.0,1820.0
2006-05-14,Berkeley,589000.0,2.0,10717.0,1433.0
2006-03-05,Berkeley,703000.0,4.0,6250.0,2352.0
2006-12-03,Berkeley,850000.0,4.0,6250.0,2352.0
2006-11-19,Berkeley,657500.0,3.0,4000.0,1678.0
2006-09-24,Berkeley,624000.0,2.0,3400.0,836.0
2006-04-09,Berkeley,650000.0,2.0,3185.0,954.0
2006-07-09,Berkeley,815000.0,7.0,5300.0,2587.0
2006-11-19,Berkeley,750000.0,4.0,5320.0,1412.0
2006-08-06,Berkeley,509500.0,2.0,3200.0,1207.0
2006-03-05,Berkeley,850000.0,2.0,4800.0,1992.0
2006-02-12,Berkeley,620000.0,2.0,3600.0,1431.0
2006-12-03,Berkeley,647000.0,2.0,3500.0,1039.0
2006-01-22,Berkeley,730000.0,1.0,3040.0,1850.0
2006-04-02,Berkeley,600000.0,2.0,4000.0,1400.0
2006-04-09,Berkeley,620000.0,3.0,4000.0,1392.0
2006-09-03,Berkeley,550000.0,2.0,4550.0,1128.0
2006-09-24,Berkeley,750000.0,7.0,6363.0,1741.0
2006-07-23,Berkeley,595000.0,2.0,4000.0,1002.0
